filter,"geohash_grid","Sum of Confirmed","Geo Centroid"
undefined,u15,435708,"[object Object]"
undefined,u8v,123028,"[object Object]"
undefined,u24,236158,"[object Object]"
undefined,u17,147074,"[object Object]"
undefined,u14,101951,"[object Object]"
undefined,ttn,831942,"[object Object]"
undefined,sv9,338127,"[object Object]"
undefined,srb,242158,"[object Object]"
undefined,d2g,442171,"[object Object]"
undefined,whd,213662,"[object Object]"
undefined,wh0,477545,"[object Object]"
undefined,w5u,99155,"[object Object]"
undefined,w28,72694,"[object Object]"
undefined,w21,58260,"[object Object]"
undefined,v67,48622,"[object Object]"
undefined,v2x,179344,"[object Object]"
undefined,udt,148153,"[object Object]"
undefined,ucz,57376,"[object Object]"
undefined,ucg,118235,"[object Object]"
undefined,ucf,647562,"[object Object]"
undefined,ubm,42056,"[object Object]"
undefined,ubc,59285,"[object Object]"
undefined,ub8,44080,"[object Object]"
undefined,u9e,147157,"[object Object]"
undefined,u9b,74649,"[object Object]"
undefined,u8m,51148,"[object Object]"
undefined,u8k,116365,"[object Object]"
undefined,u8c,49831,"[object Object]"
undefined,u81,513576,"[object Object]"
undefined,u6s,82014,"[object Object]"
undefined,u63,45740,"[object Object]"
undefined,u4n,90603,"[object Object]"
undefined,u3j,1063449,"[object Object]"
undefined,u33,71088,"[object Object]"
undefined,u31,68244,"[object Object]"
undefined,u2w,116731,"[object Object]"
undefined,u2m,250278,"[object Object]"
undefined,u2g,546259,"[object Object]"
undefined,u28,229868,"[object Object]"
undefined,u26,303430,"[object Object]"
undefined,u20,165249,"[object Object]"
undefined,u1r,77575,"[object Object]"
undefined,u1n,95954,"[object Object]"
undefined,u1k,56489,"[object Object]"
undefined,u1j,284815,"[object Object]"
undefined,u0w,164843,"[object Object]"
undefined,u0v,49475,"[object Object]"
undefined,u0u,92690,"[object Object]"
undefined,u0n,429109,"[object Object]"
undefined,u0m,344497,"[object Object]"
undefined,u0j,177788,"[object Object]"
undefined,u0f,95030,"[object Object]"
undefined,u01,2290891,"[object Object]"
undefined,txm,74973,"[object Object]"
undefined,twn,112757,"[object Object]"
undefined,tw5,49220,"[object Object]"
undefined,tw0,47306,"[object Object]"
undefined,tv5,240981,"[object Object]"
undefined,tv2,77573,"[object Object]"
undefined,tus,237552,"[object Object]"
undefined,tun,499697,"[object Object]"
undefined,tuh,110186,"[object Object]"
undefined,tuc,553012,"[object Object]"
undefined,ttw,44405,"[object Object]"
undefined,ttm,155424,"[object Object]"
undefined,tt7,122955,"[object Object]"
undefined,tss,278496,"[object Object]"
undefined,tsp,213050,"[object Object]"
undefined,ts8,182473,"[object Object]"
undefined,ts4,217333,"[object Object]"
undefined,trm,73904,"[object Object]"
undefined,tp1,146679,"[object Object]"
undefined,tp0,141937,"[object Object]"
undefined,tjy,1040547,"[object Object]"
undefined,tj1,144369,"[object Object]"
undefined,ths,139908,"[object Object]"
undefined,thn,176429,"[object Object]"
undefined,the,87732,"[object Object]"
undefined,th0,358713,"[object Object]"
undefined,tgs,320803,"[object Object]"
undefined,tgf,245580,"[object Object]"
undefined,tg0,273341,"[object Object]"
undefined,tfb,871305,"[object Object]"
undefined,teq,1847509,"[object Object]"
undefined,tdw,891685,"[object Object]"
undefined,tds,48574,"[object Object]"
undefined,t9z,788920,"[object Object]"
undefined,t9y,631615,"[object Object]"
undefined,t5z,124886,"[object Object]"
undefined,szw,162475,"[object Object]"
undefined,syc,828295,"[object Object]"
undefined,sy1,135876,"[object Object]"
undefined,sxd,160844,"[object Object]"
undefined,svz,564200,"[object Object]"
undefined,sv8,344798,"[object Object]"
undefined,ssv,118014,"[object Object]"
undefined,sry,219652,"[object Object]"
undefined,srw,42805,"[object Object]"
undefined,sru,94507,"[object Object]"
undefined,srr,67968,"[object Object]"
undefined,srq,42988,"[object Object]"
undefined,sr7,64341,"[object Object]"
undefined,sr6,165293,"[object Object]"
undefined,sr2,130255,"[object Object]"
undefined,sqz,115471,"[object Object]"
undefined,sqc,71489,"[object Object]"
undefined,spy,53779,"[object Object]"
undefined,sp3,310141,"[object Object]"
undefined,snn,102991,"[object Object]"
undefined,sks,86580,"[object Object]"
undefined,shc,87502,"[object Object]"
undefined,scs,113295,"[object Object]"
undefined,s1w,68937,"[object Object]"
undefined,gfj,100106,"[object Object]"
undefined,gcr,1479097,"[object Object]"
undefined,gcm,88992,"[object Object]"
undefined,gce,55047,"[object Object]"
undefined,gc6,74246,"[object Object]"
undefined,f37,151599,"[object Object]"
undefined,ezw,99716,"[object Object]"
undefined,ezr,74534,"[object Object]"
undefined,ezp,108586,"[object Object]"
undefined,ezk,123433,"[object Object]"
undefined,ezj,354326,"[object Object]"
undefined,ezd,51557,"[object Object]"
undefined,ez4,322474,"[object Object]"
undefined,eyz,55116,"[object Object]"
undefined,eyv,87956,"[object Object]"
undefined,eys,238783,"[object Object]"
undefined,evd,379657,"[object Object]"
undefined,ecr,52198,"[object Object]"
undefined,drt,252017,"[object Object]"
undefined,drm,62137,"[object Object]"
undefined,drk,127715,"[object Object]"
undefined,dr6,696125,"[object Object]"
undefined,dr5,368016,"[object Object]"
undefined,dr1,423100,"[object Object]"
undefined,dqc,215027,"[object Object]"
undefined,dq8,255053,"[object Object]"
undefined,de0,56671,"[object Object]"
undefined,d90,104177,"[object Object]"
undefined,d7q,148453,"[object Object]"
undefined,d3f,79905,"[object Object]"
undefined,d3e,40300,"[object Object]"
undefined,d36,220859,"[object Object]"
undefined,d35,55434,"[object Object]"
undefined,d29,112671,"[object Object]"
