"Province_State: Descending","Sum of Confirmed"
California,1352783
Texas,1315406
Florida,1058074
Illinois,787573
"New York",705827
Georgia,501405
Ohio,475024
Wisconsin,441067
Michigan,426576
Pennsylvania,423100
Tennessee,400594
"North Carolina",394990
Indiana,381617
"New Jersey",368016
Arizona,358900
Minnesota,350862
Missouri,329272
Alabama,269877
Colorado,257347
Virginia,255053
Massachusetts,252017
Louisiana,251123
Iowa,244311
"South Carolina",232099
Oklahoma,216486
Utah,215407
Maryland,215027
Kentucky,198064
Washington,175793
Kansas,171363
Arkansas,170924
Nevada,168140
Mississippi,164931
Nebraska,138568
Connecticut,127715
Idaho,109705
"New Mexico",106856
"South Dakota",85991
Oregon,83243
"North Dakota",82981
Montana,67875
"Rhode Island",62137
"Puerto Rico",56671
"West Virginia",54997
